player,type,experience,season,contract_yrs,first_year_percent_of_cap
Malik Fitts,RFA,2,2022,NA,NA
Malik Monk,UFA,5,2022,NA,NA
Marcus Garrett,RFA,1,2022,NA,NA
Markieff Morris,UFA,11,2022,NA,NA
Markus Howard,RFA,2,2022,NA,NA
Marvin Bagley III,RFA,4,2022,NA,NA
Matt Thomas,RFA,3,2022,NA,NA
McKinley Wright IV,RFA,1,2022,NA,NA
Michael Carter-Williams,UFA,9,2022,NA,NA
Mike Muscala,CO,8,2022,NA,3500000
Miles Bridges,RFA,4,2022,NA,NA
Mitchell Robinson,UFA,4,2022,NA,NA
Mo Bamba,RFA,4,2022,NA,NA
Montrezl Harrell,UFA,7,2022,NA,NA
Mychal Mulder,RFA,3,2022,NA,NA
Nathan Knight,RFA,2,2022,NA,NA
Naz Reid,CO,2,2022,NA,1399637
Neemias Queta,RFA,1,2022,NA,NA
Nemanja Bjelica,UFA,7,2022,NA,NA
Nicolas Batum,PO,13,2022,NA,3249280
Nicolas Claxton,RFA,3,2022,NA,NA
Oshae Brissett,CO,2,2022,NA,1229523
Otto Porter,UFA,9,2022,NA,NA
P.J. Tucker,PO,10,2022,NA,7175000
Pat Connaughton,PO,6,2022,NA,5333333
Patrick Beverley,UFA,10,2022,NA,NA
Patty Mills,PO,12,2022,NA,6037250
Paul Millsap,UFA,16,2022,NA,NA
Paul Watson,RFA,3,2022,NA,NA
Petr Cornelie,RFA,1,2022,NA,NA
R.J. Nembhard,RFA,1,2022,NA,NA
Raul Neto,UFA,7,2022,NA,NA
Ricky Rubio,UFA,11,2022,NA,NA
Robert Covington,UFA,9,2022,NA,NA
Robin Lopez,UFA,14,2022,NA,NA
Rodney Hood,UFA,8,2022,NA,NA
Rodney McGruder,UFA,6,2022,NA,NA
Russell Westbrook,PO,13,2022,NA,41358814
Sam Dekker,UFA,5,2022,NA,NA
Sam Hauser,RFA,1,2022,NA,NA
Sam Merrill,RFA,2,2022,NA,NA
Scottie Lewis,RFA,1,2022,NA,NA
Sekou Doumbouya,RFA,3,2022,NA,NA
Semi Ojeleye,UFA,5,2022,NA,NA
Serge Ibaka,UFA,13,2022,NA,NA
Shake Milton,CO,3,2022,NA,1664676
Sharife Cooper,RFA,1,2022,NA,NA
Skylar Mays,RFA,2,2022,NA,NA
Solomon Hill,UFA,9,2022,NA,NA
Sviatoslav Mykhailiuk,PO,3,2022,NA,1803969
T.J. Warren,UFA,8,2022,NA,NA
Tacko Fall,RFA,3,2022,NA,NA
Taurean Prince,UFA,6,2022,NA,NA
Thaddeus Young,UFA,15,2022,NA,NA
Thanasis Antetokounmpo,PO,3,2022,NA,1803969
Thomas Bryant,UFA,5,2022,NA,NA
Tomáš Satoranský,UFA,6,2022,NA,NA
Tony Bradley,PO,4,2022,NA,1912787
Tony Snell,UFA,9,2022,NA,NA
Trendon Watford,RFA,1,2022,NA,NA
Trent Forrest,RFA,2,2022,NA,NA
Trevor Ariza,UFA,18,2022,NA,NA
Trey Burke,PO,8,2022,NA,3150000
Trey Lyles,CO,6,2022,NA,2562500
Tristan Thompson,UFA,11,2022,NA,NA
Bruce Brown,RFA,4,2022,NA,NA
Tyler Cook,RFA,3,2022,NA,NA
Tyus Jones,UFA,7,2022,NA,NA
Udonis Haslem,UFA,19,2022,NA,NA
Victor Oladipo,UFA,9,2022,NA,NA
Vlatko Čančar,RFA,3,2022,NA,NA
Wayne Ellington,UFA,13,2022,NA,NA
Wayne Selden,UFA,4,2022,NA,NA
Willie Cauley-Stein,UFA,7,2022,NA,NA
Yuta Watanabe,RFA,4,2022,NA,NA
Yves Pons,RFA,1,2022,NA,NA
Zach LaVine,UFA,8,2022,NA,NA
